fighter_id,first,last,nickname,url
446,David,Branch,,http://ufcstats.com/fighter-details/d2c55d1d2e67773b
447,Billy,Brand,,http://ufcstats.com/fighter-details/edae6db2b3453632
448,Diego,Brandao,DB,http://ufcstats.com/fighter-details/c2e3e67b5911bfb7
449,Bruna,Brasil,,http://ufcstats.com/fighter-details/7138a15258dabf20
450,Michael,Bravo,,http://ufcstats.com/fighter-details/dc63542668295c23
451,Martin,Bravo,El Toro,http://ufcstats.com/fighter-details/9c44f290f5726d95
452,Roman,Bravo-Young,,http://ufcstats.com/fighter-details/37ce890a4670b287
453,Mike,Breeden,Money,http://ufcstats.com/fighter-details/d80ee110748171ac
454,Tom,Breese,,http://ufcstats.com/fighter-details/1588b787bda7b540
455,Elves,Brener,,http://ufcstats.com/fighter-details/48a9a128784d53d1
456,Chris,Brennan,The Westside Strangler,http://ufcstats.com/fighter-details/b19fc66613dc75b9
457,Charlie,Brenneman,The Spaniard,http://ufcstats.com/fighter-details/98f6da59d765ec94
458,Robert,Breslin,The Bullet,http://ufcstats.com/fighter-details/e319d6697d41f3cf
459,Mack,Brewer,,http://ufcstats.com/fighter-details/106a925d947a0de9
460,Marcos,Brigagao,Ironside,http://ufcstats.com/fighter-details/11547e29f253fb89
461,Jason,Brilz,Hitman,http://ufcstats.com/fighter-details/497ba5b12a4bfc47
462,Marcus,Brimage,The Bama Beast,http://ufcstats.com/fighter-details/81801f57bd0a7c41
463,Aaron,Brink,,http://ufcstats.com/fighter-details/cf1a88371c8cb690
464,Henry,Briones,Bure,http://ufcstats.com/fighter-details/01fcef7e3d051722
465,Marcelo,Brito,Jungle Boy,http://ufcstats.com/fighter-details/3a97fda0de6f1fa4
466,Joanderson,Brito,Tubarao,http://ufcstats.com/fighter-details/791c8437b341fba5
467,Kaik,Brito,,http://ufcstats.com/fighter-details/b07f14fc0e53f8bd
468,Icaro,Brito,,http://ufcstats.com/fighter-details/06dd61c8d545c63f
469,Antwain,Britt,The Juggernaut,http://ufcstats.com/fighter-details/2833f50b20e96e52
470,Drew,Brokenshire,,http://ufcstats.com/fighter-details/aa571d75f80fde7d
471,Mike,Bronzoulis,The Greek,http://ufcstats.com/fighter-details/df3c39573d01f55b
472,Jonathan,Brookins,,http://ufcstats.com/fighter-details/b0a6124751a56bc4
473,Will,Brooks,Ill,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1
474,Jarred,Brooks,The Monkey God,http://ufcstats.com/fighter-details/81d9df19e255b8b6
475,Rob,Broughton,The Bear,http://ufcstats.com/fighter-details/a7d687e6ecb30981
476,Lee,Brousseau,Manimal,http://ufcstats.com/fighter-details/0974d8d4053a7237
477,Matt,Brown,The Immortal,http://ufcstats.com/fighter-details/31123249b0bbf52e
478,Mike,Brown,,http://ufcstats.com/fighter-details/e0b74df14f52cd15
479,Dominic,Brown,,http://ufcstats.com/fighter-details/52b3ec072ad497a4
480,Todd,Brown,Bulldog,http://ufcstats.com/fighter-details/9b68bf67c5695185
481,Terrell,Brown,,http://ufcstats.com/fighter-details/85df85a4e276c90e
482,Chris,Brown,,http://ufcstats.com/fighter-details/9e2624ac992660c6
483,Frederick,Brown,,http://ufcstats.com/fighter-details/880c6b788266a3ef
484,Randy,Brown,Rudeboy,http://ufcstats.com/fighter-details/c6aee362c7a7d482
485,Damien,Brown,Beatdown,http://ufcstats.com/fighter-details/d024ed963e8bf7ea
486,TJ,Brown,Downtown,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
487,Humberto,Brown Morrison,,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
488,Travis,Browne,Hapa,http://ufcstats.com/fighter-details/3236bf606fe9fa5b
489,Junie,Browning,,http://ufcstats.com/fighter-details/d74cba8566291bfa
490,Jules,Bruchez,,http://ufcstats.com/fighter-details/d1dcd4e96464a53d
491,Justin,Bruckmann,Loaf,http://ufcstats.com/fighter-details/5f8e00c27b7e7410
492,Cody,Brundage,,http://ufcstats.com/fighter-details/f14f644d41ade29f
493,Steve,Bruno,Hollywood,http://ufcstats.com/fighter-details/2f3f12002564bb55
494,Fernando,Bruno,Acougueiro,http://ufcstats.com/fighter-details/b8c0f30ee9a98b69
495,Derek,Brunson,The One,http://ufcstats.com/fighter-details/b1a3e0aca758b322
496,Josh,Bryant,The Beast,http://ufcstats.com/fighter-details/01f022fa494188e2
497,Dennis,Bryant,The Beard,http://ufcstats.com/fighter-details/3b17353b8002c7d0
498,Robert,Bryczek,,http://ufcstats.com/fighter-details/f96856f9d69fd7e4
499,Lukasz,Brzeski,The Bull,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19
500,Marcus,Buchecha,,http://ufcstats.com/fighter-details/095854a135e6db55
501,Justin,Buchholz,,http://ufcstats.com/fighter-details/231926533134ec1f
502,Zak,Bucia,,http://ufcstats.com/fighter-details/6bbb8dc6e128779e
503,Courtney,Buck,,http://ufcstats.com/fighter-details/3feed7d02711d8b7
504,Joaquin,Buckley,New Mansa,http://ufcstats.com/fighter-details/b9437600497350f3
505,Martin,Buday,Badys,http://ufcstats.com/fighter-details/8eb046f83e82bf26
506,Julia,Budd,,http://ufcstats.com/fighter-details/dcdc4503b9d49977
